epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,256.509,0.83809,0.64082,0.96792,0.88039,0.84127,0.83988,0.54695,1.2171,0.85621,1.21221,0.00097832,0.00097832,0.00097832
131,258.431,0.83278,0.63613,0.97507,0.85345,0.77778,0.81486,0.53978,1.18258,0.86889,1.2095,0.0009704,0.0009704,0.0009704
132,260.468,0.82603,0.61942,0.95808,0.89685,0.80159,0.84624,0.56696,1.17511,0.88554,1.21071,0.00096248,0.00096248,0.00096248
133,262.423,0.83039,0.63774,0.96591,0.89634,0.73016,0.82171,0.55351,1.17582,0.88919,1.17575,0.00095456,0.00095456,0.00095456
134,264.381,0.83189,0.61639,0.96498,0.87373,0.8254,0.84541,0.5609,1.18286,0.87866,1.16576,0.00094664,0.00094664,0.00094664
135,266.334,0.79697,0.59201,0.964,0.87819,0.77778,0.81083,0.5437,1.20981,0.86282,1.19958,0.00093872,0.00093872,0.00093872
136,268.292,0.81152,0.60592,0.9552,0.90714,0.78571,0.84361,0.54745,1.21472,0.82745,1.24368,0.0009308,0.0009308,0.0009308
137,270.219,0.7987,0.60793,0.97397,0.87713,0.78571,0.81156,0.54733,1.18711,0.90331,1.23003,0.00092288,0.00092288,0.00092288
138,272.299,0.81203,0.59463,0.96719,0.89496,0.79365,0.81826,0.54662,1.16551,0.83483,1.23396,0.00091496,0.00091496,0.00091496
139,274.476,0.7955,0.60302,0.96641,0.89761,0.80952,0.83194,0.56346,1.16591,0.89593,1.20223,0.00090704,0.00090704,0.00090704
140,276.517,0.78669,0.62059,0.9579,0.83458,0.79365,0.82742,0.54581,1.1753,0.8706,1.17578,0.00089912,0.00089912,0.00089912
141,278.546,0.79956,0.61414,0.95263,0.85947,0.80952,0.84357,0.56989,1.17053,0.84055,1.17608,0.0008912,0.0008912,0.0008912
142,280.558,0.77929,0.60448,0.95379,0.85011,0.78571,0.80221,0.53573,1.18627,0.92748,1.20231,0.00088328,0.00088328,0.00088328
143,282.744,0.79957,0.59539,0.95524,0.91636,0.78261,0.82713,0.54497,1.17692,0.90259,1.21281,0.00087536,0.00087536,0.00087536
144,284.821,0.78242,0.59125,0.95738,0.91743,0.72222,0.79716,0.52513,1.18667,0.98703,1.20456,0.00086744,0.00086744,0.00086744
145,286.855,0.76448,0.56515,0.94665,0.90085,0.77778,0.81943,0.54933,1.14385,0.90494,1.1844,0.00085952,0.00085952,0.00085952
146,288.915,0.78653,0.58754,0.9558,0.87644,0.80952,0.8259,0.55193,1.15189,0.82728,1.18552,0.0008516,0.0008516,0.0008516
147,290.9,0.7643,0.57631,0.94668,0.8598,0.80159,0.82349,0.55685,1.13124,0.8403,1.16571,0.00084368,0.00084368,0.00084368
148,292.981,0.77365,0.57868,0.95396,0.86069,0.7619,0.825,0.56936,1.14153,0.86814,1.18283,0.00083576,0.00083576,0.00083576
149,294.999,0.77027,0.60669,0.94813,0.90733,0.77707,0.84608,0.57263,1.15564,0.89562,1.15345,0.00082784,0.00082784,0.00082784
150,297.263,0.77068,0.57753,0.94175,0.82375,0.77894,0.81941,0.54912,1.23123,0.91286,1.24083,0.00081992,0.00081992,0.00081992
151,299.602,0.76163,0.57247,0.93681,0.85875,0.77202,0.82161,0.53983,1.21948,0.97451,1.23046,0.000812,0.000812,0.000812
152,301.598,0.77302,0.56127,0.93976,0.87472,0.77579,0.80737,0.55107,1.1503,0.94958,1.21414,0.00080408,0.00080408,0.00080408
153,303.59,0.75473,0.56882,0.94867,0.86145,0.79365,0.82898,0.54719,1.14818,0.96643,1.20449,0.00079616,0.00079616,0.00079616
154,305.518,0.78601,0.58177,0.95301,0.90988,0.80133,0.84182,0.55112,1.13864,0.8539,1.18384,0.00078824,0.00078824,0.00078824
155,307.546,0.79077,0.59025,0.94058,0.89506,0.77778,0.80375,0.55073,1.16208,0.94143,1.20049,0.00078032,0.00078032,0.00078032
156,309.517,0.74552,0.56344,0.92681,0.89316,0.81746,0.83182,0.56421,1.16364,0.87091,1.22411,0.0007724,0.0007724,0.0007724
157,311.496,0.76214,0.5619,0.93896,0.87648,0.80952,0.83883,0.55769,1.14868,0.88107,1.215,0.00076448,0.00076448,0.00076448
158,313.495,0.77067,0.57435,0.94167,0.86828,0.78474,0.82595,0.53954,1.19842,0.91745,1.22999,0.00075656,0.00075656,0.00075656
159,315.433,0.74124,0.55054,0.9376,0.85326,0.79365,0.82917,0.55344,1.1516,0.90462,1.21575,0.00074864,0.00074864,0.00074864
160,317.387,0.76213,0.56275,0.94654,0.90306,0.76984,0.83102,0.55541,1.16539,0.89629,1.23257,0.00074072,0.00074072,0.00074072
161,319.341,0.70808,0.52847,0.91922,0.91394,0.76984,0.81692,0.54642,1.17896,0.90912,1.25376,0.0007328,0.0007328,0.0007328
162,321.292,0.73223,0.5307,0.92307,0.85332,0.80159,0.81988,0.55096,1.16597,0.88943,1.23562,0.00072488,0.00072488,0.00072488
163,323.299,0.71733,0.5448,0.92618,0.90678,0.79365,0.82524,0.55694,1.16621,0.92281,1.22504,0.00071696,0.00071696,0.00071696
164,325.257,0.75503,0.5478,0.93068,0.90784,0.7818,0.83481,0.55,1.1788,0.90472,1.22013,0.00070904,0.00070904,0.00070904
165,327.159,0.74616,0.54548,0.94207,0.89751,0.7619,0.80973,0.54313,1.19885,1.01011,1.23852,0.00070112,0.00070112,0.00070112
166,329.235,0.74528,0.55434,0.94007,0.88797,0.76984,0.80821,0.54627,1.16732,1.00317,1.21457,0.0006932,0.0006932,0.0006932
167,331.216,0.72266,0.53208,0.92695,0.87434,0.79365,0.80669,0.54666,1.1802,0.95564,1.25946,0.00068528,0.00068528,0.00068528
168,333.17,0.73977,0.53717,0.93584,0.88287,0.81746,0.83726,0.55346,1.238,0.84022,1.2932,0.00067736,0.00067736,0.00067736
169,335.112,0.76079,0.56551,0.93839,0.8298,0.8254,0.83029,0.55358,1.20218,0.8449,1.24828,0.00066944,0.00066944,0.00066944
170,337.059,0.74247,0.53831,0.93645,0.86497,0.81342,0.84581,0.5632,1.1913,0.79914,1.23264,0.00066152,0.00066152,0.00066152
171,338.989,0.70718,0.53818,0.92451,0.88504,0.79432,0.8368,0.55598,1.1785,0.82945,1.24867,0.0006536,0.0006536,0.0006536
172,340.964,0.70135,0.52341,0.92045,0.90689,0.74603,0.8205,0.55208,1.16022,0.94758,1.23687,0.00064568,0.00064568,0.00064568
173,342.919,0.71943,0.55258,0.92387,0.85983,0.77778,0.83034,0.55707,1.19027,0.93599,1.24437,0.00063776,0.00063776,0.00063776
174,344.878,0.73153,0.54917,0.93226,0.82711,0.80952,0.82095,0.56417,1.17079,0.92887,1.25126,0.00062984,0.00062984,0.00062984
175,346.832,0.68908,0.52324,0.91686,0.8608,0.78525,0.81931,0.54556,1.17671,0.87987,1.27647,0.00062192,0.00062192,0.00062192
176,348.796,0.72186,0.54693,0.93528,0.81335,0.80159,0.82925,0.54645,1.19235,0.81691,1.29175,0.000614,0.000614,0.000614
177,350.74,0.70255,0.51827,0.9232,0.85635,0.80431,0.83384,0.55277,1.1823,0.83411,1.23873,0.00060608,0.00060608,0.00060608
178,352.684,0.68429,0.49903,0.91211,0.85182,0.8254,0.84219,0.5653,1.15736,0.83989,1.22595,0.00059816,0.00059816,0.00059816
179,354.742,0.73161,0.5196,0.93956,0.88967,0.75397,0.83043,0.55875,1.16241,0.86997,1.22086,0.00059024,0.00059024,0.00059024
180,356.698,0.68582,0.50704,0.92336,0.86351,0.80335,0.83611,0.55406,1.22368,0.86588,1.27287,0.00058232,0.00058232,0.00058232
181,358.613,0.71053,0.51466,0.91415,0.86148,0.78975,0.83419,0.5515,1.21705,0.84743,1.27124,0.0005744,0.0005744,0.0005744
182,360.613,0.71223,0.515,0.91178,0.85253,0.79365,0.82675,0.54926,1.22384,0.87691,1.27979,0.00056648,0.00056648,0.00056648
183,362.539,0.74452,0.54533,0.92687,0.81982,0.80159,0.81141,0.53116,1.23269,0.89877,1.2945,0.00055856,0.00055856,0.00055856
184,364.472,0.67361,0.49992,0.91915,0.88006,0.79365,0.83467,0.55427,1.17338,0.86029,1.25475,0.00055064,0.00055064,0.00055064
